interview_id,application_id,candidate_id,interview_type,scheduled_at,completed_at,interview_status,technical_score,communication_score,overall_score,recommendation,feedback
review-clean4-clean-INT-0005319,review-clean4-clean-APP-003119,review-clean4-clean-CAND-02207,Phone Screen,2026-07-08T16:00:00,,Scheduled,1.3,3.7,,Leaning No,Public little at true leader continue.
review-clean4-clean-INT-0005320,review-clean4-clean-APP-003119,review-clean4-clean-CAND-02207,Technical,2026-07-09T09:00:00,2026-07-09T11:00:00,Completed,2.2,,1.7,Hire,Respond race religious value small read.
review-clean4-clean-INT-0005321,review-clean4-clean-APP-003122,review-clean4-clean-CAND-04663,Phone Screen,2026-06-27T09:00:00,2026-06-27T12:00:00,Completed,3.6,,4.8,Hire,Between take religious plan left music rock public.
review-clean4-clean-INT-0005322,review-clean4-clean-APP-003122,review-clean4-clean-CAND-04663,Technical,2026-06-29T08:00:00,,Scheduled,3.1,,1.1,No Hire,Benefit catch foreign clearly know.
review-clean4-clean-INT-0005323,review-clean4-clean-APP-003123,review-clean4-clean-CAND-00399,Phone Screen,2026-07-24T16:00:00,,Scheduled,4.8,,,Leaning No,
review-clean4-clean-INT-0005324,review-clean4-clean-APP-003124,review-clean4-clean-CAND-02318,Phone Screen,2026-06-01T08:00:00,,Scheduled,,4.3,2.3,Hire,
review-clean4-clean-INT-0005325,review-clean4-clean-APP-003124,review-clean4-clean-CAND-02318,Phone Screen,2026-06-04T14:00:00,,Scheduled,1.7,4.8,2.4,Hire,
review-clean4-clean-INT-0005326,review-clean4-clean-APP-003124,review-clean4-clean-CAND-02318,Technical,2026-06-05T14:00:00,2026-06-05T18:00:00,Completed,3.6,1.9,3.0,No Hire,Along although mouth window full full focus.
review-clean4-clean-INT-0005327,review-clean4-clean-APP-003125,review-clean4-clean-CAND-00580,Phone Screen,2026-06-12T09:00:00,2026-06-12T15:00:00,Completed,1.5,4.5,4.1,No Hire,
review-clean4-clean-INT-0005328,review-clean4-clean-APP-003125,review-clean4-clean-CAND-00580,Cultural Fit,2026-06-13T09:00:00,2026-06-13T13:00:00,Completed,2.0,4.8,2.9,Hire,Enter successful move myself.
review-clean4-clean-INT-0005329,review-clean4-clean-APP-003125,review-clean4-clean-CAND-00580,Technical,2026-06-18T08:00:00,2026-06-18T12:00:00,Completed,4.5,2.7,2.4,Strong Hire,
review-clean4-clean-INT-0005330,review-clean4-clean-APP-003126,review-clean4-clean-CAND-03125,Phone Screen,2026-08-27T09:00:00,2026-08-27T10:00:00,Completed,1.0,,3.5,Hire,
review-clean4-clean-INT-0005331,review-clean4-clean-APP-003126,review-clean4-clean-CAND-03125,Technical,2026-08-28T08:00:00,2026-08-28T16:00:00,Cancelled,2.4,1.3,,Leaning No,Mouth start history might option happy agent.
review-clean4-clean-INT-0005332,review-clean4-clean-APP-003127,review-clean4-clean-CAND-02091,Phone Screen,2026-08-01T17:00:00,2026-08-02T00:00:00,Cancelled,1.8,1.6,4.6,Leaning No,Thought both officer moment artist.
review-clean4-clean-INT-0005333,review-clean4-clean-APP-003128,review-clean4-clean-CAND-03268,Phone Screen,2026-05-26T08:00:00,2026-05-26T13:00:00,Cancelled,1.7,1.7,,Leaning No,
review-clean4-clean-INT-0005334,review-clean4-clean-APP-003128,review-clean4-clean-CAND-03268,Coding Challenge,2026-05-27T16:00:00,2026-05-27T20:00:00,Completed,4.4,3.7,3.7,Strong Hire,
review-clean4-clean-INT-0005335,review-clean4-clean-APP-003129,review-clean4-clean-CAND-01706,Phone Screen,2026-08-07T11:00:00,2026-08-07T15:00:00,Completed,1.8,,1.6,Leaning No,Study ball then against drive.
review-clean4-clean-INT-0005336,review-clean4-clean-APP-003129,review-clean4-clean-CAND-01706,Technical,2026-08-08T09:00:00,2026-08-08T10:00:00,Completed,1.1,,5.0,Hire,Spring smile teach deep world section nation share.
review-clean4-clean-INT-0005337,review-clean4-clean-APP-003130,review-clean4-clean-CAND-03297,Phone Screen,2026-07-29T08:00:00,2026-07-29T16:00:00,Completed,1.0,2.7,3.1,Hire,Very financial fall computer.
review-clean4-clean-INT-0005338,review-clean4-clean-APP-003130,review-clean4-clean-CAND-03297,Cultural Fit,2026-07-30T15:00:00,,Scheduled,1.2,3.4,,Leaning No,Mouth reach cultural group key sell democratic.
review-clean4-clean-INT-0005339,review-clean4-clean-APP-003130,review-clean4-clean-CAND-03297,Phone Screen,2026-08-04T16:00:00,,Scheduled,3.0,2.7,2.8,No Hire,Loss dinner answer produce.
review-clean4-clean-INT-0005340,review-clean4-clean-APP-003130,review-clean4-clean-CAND-03297,Technical,2026-08-07T09:00:00,2026-08-07T11:00:00,Completed,4.0,4.3,3.9,No Hire,Drop five father.
review-clean4-clean-INT-0005341,review-clean4-clean-APP-003131,review-clean4-clean-CAND-01263,Phone Screen,2026-05-26T10:00:00,2026-05-26T13:00:00,Completed,,2.4,4.7,Leaning No,Pretty exist total who condition as.
review-clean4-clean-INT-0005342,review-clean4-clean-APP-003132,review-clean4-clean-CAND-04022,Phone Screen,2026-06-25T16:00:00,,Scheduled,1.1,4.3,2.1,Strong Hire,
review-clean4-clean-INT-0005343,review-clean4-clean-APP-003132,review-clean4-clean-CAND-04022,Cultural Fit,2026-06-27T14:00:00,2026-06-27T17:00:00,Completed,3.6,4.3,2.9,Leaning No,Tend order fast.
review-clean4-clean-INT-0005344,review-clean4-clean-APP-003133,review-clean4-clean-CAND-02541,Phone Screen,2026-07-05T13:00:00,2026-07-05T15:00:00,Completed,,4.9,2.7,No Hire,Hit industry maintain soon program arm total not.
review-clean4-clean-INT-0005345,review-clean4-clean-APP-003133,review-clean4-clean-CAND-02541,Cultural Fit,2026-07-07T10:00:00,2026-07-07T14:00:00,Cancelled,2.8,4.5,2.1,Leaning No,Of away that.
review-clean4-clean-INT-0005346,review-clean4-clean-APP-003134,review-clean4-clean-CAND-04944,Phone Screen,2026-06-22T12:00:00,2026-06-22T17:00:00,Completed,,,3.0,No Hire,Particularly until plan society standard suddenly statement.
review-clean4-clean-INT-0005347,review-clean4-clean-APP-003134,review-clean4-clean-CAND-04944,Cultural Fit,2026-06-23T10:00:00,2026-06-23T11:00:00,Completed,4.8,2.7,1.5,Hire,However information let others head.
review-clean4-clean-INT-0005348,review-clean4-clean-APP-003135,review-clean4-clean-CAND-00788,Phone Screen,2026-08-20T16:00:00,2026-08-21T00:00:00,Completed,2.6,3.8,4.8,No Hire,Sell democratic style identify.
review-clean4-clean-INT-0005349,review-clean4-clean-APP-003135,review-clean4-clean-CAND-00788,Coding Challenge,2026-08-21T14:00:00,,Scheduled,4.0,,2.6,Hire,Five really card arm.
review-clean4-clean-INT-0005350,review-clean4-clean-APP-003136,review-clean4-clean-CAND-04200,Phone Screen,2026-07-11T14:00:00,2026-07-11T17:00:00,Cancelled,3.2,2.4,3.1,Leaning No,Organization central ago law trip opportunity reflect health.
review-clean4-clean-INT-0005351,review-clean4-clean-APP-003136,review-clean4-clean-CAND-04200,Coding Challenge,2026-07-12T17:00:00,2026-07-12T21:00:00,Cancelled,3.0,4.5,3.9,Hire,Sound share fear.
review-clean4-clean-INT-0005352,review-clean4-clean-APP-003138,review-clean4-clean-CAND-03903,Phone Screen,2026-06-30T10:00:00,2026-06-30T11:00:00,Cancelled,4.1,2.0,4.8,Leaning No,
review-clean4-clean-INT-0005353,review-clean4-clean-APP-003139,review-clean4-clean-CAND-04918,Phone Screen,2026-05-28T10:00:00,2026-05-28T17:00:00,Completed,2.8,4.5,1.7,Hire,General surface street him.
review-clean4-clean-INT-0005354,review-clean4-clean-APP-003139,review-clean4-clean-CAND-04918,Coding Challenge,2026-05-30T13:00:00,2026-05-30T15:00:00,Cancelled,4.3,3.2,1.9,Hire,
review-clean4-clean-INT-0005355,review-clean4-clean-APP-003139,review-clean4-clean-CAND-04918,Final Panel,2026-06-03T12:00:00,2026-06-03T19:00:00,Completed,3.5,1.9,2.1,No Hire,Among traditional risk time market.
review-clean4-clean-INT-0005356,review-clean4-clean-APP-003140,review-clean4-clean-CAND-03462,Phone Screen,2026-08-06T15:00:00,2026-08-06T17:00:00,Cancelled,3.5,2.3,2.1,Leaning No,Choice this that against box floor.
review-clean4-clean-INT-0005357,review-clean4-clean-APP-003140,review-clean4-clean-CAND-03462,Cultural Fit,2026-08-09T15:00:00,2026-08-09T23:00:00,Completed,2.4,3.7,2.6,Strong Hire,
review-clean4-clean-INT-0005358,review-clean4-clean-APP-003141,review-clean4-clean-CAND-01527,Phone Screen,2026-08-06T15:00:00,2026-08-06T23:00:00,Completed,4.7,1.7,2.5,No Hire,Condition TV deep red fly least brother.
review-clean4-clean-INT-0005359,review-clean4-clean-APP-003142,review-clean4-clean-CAND-03490,Phone Screen,2026-06-19T10:00:00,,Scheduled,1.6,4.0,4.2,Leaning No,
review-clean4-clean-INT-0005360,review-clean4-clean-APP-003143,review-clean4-clean-CAND-04206,Phone Screen,2026-08-08T15:00:00,2026-08-08T20:00:00,Completed,1.9,2.9,,No Hire,
review-clean4-clean-INT-0005361,review-clean4-clean-APP-003143,review-clean4-clean-CAND-04206,Coding Challenge,2026-08-10T15:00:00,2026-08-10T22:00:00,Cancelled,1.5,4.1,2.4,No Hire,Politics remember reflect ahead wall.
review-clean4-clean-INT-0005362,review-clean4-clean-APP-003143,review-clean4-clean-CAND-04206,Final Panel,2026-08-10T08:00:00,2026-08-10T14:00:00,Completed,1.6,2.9,,Leaning No,
review-clean4-clean-INT-0005363,review-clean4-clean-APP-003144,review-clean4-clean-CAND-01837,Phone Screen,2026-07-04T10:00:00,,Scheduled,,,4.3,No Hire,Continue public describe through evidence woman cover.
review-clean4-clean-INT-0005364,review-clean4-clean-APP-003144,review-clean4-clean-CAND-01837,Cultural Fit,2026-07-07T16:00:00,2026-07-07T20:00:00,Completed,3.5,3.1,2.2,Hire,Dinner letter type trouble.
review-clean4-clean-INT-0005365,review-clean4-clean-APP-003145,review-clean4-clean-CAND-01271,Phone Screen,2026-07-01T09:00:00,2026-07-01T15:00:00,Completed,,3.2,,Hire,Man particularly even heart tend foot.
review-clean4-clean-INT-0005366,review-clean4-clean-APP-003145,review-clean4-clean-CAND-01271,Cultural Fit,2026-07-04T16:00:00,,Scheduled,2.6,1.1,1.3,Strong Hire,Everyone whose family executive.
review-clean4-clean-INT-0005367,review-clean4-clean-APP-003146,review-clean4-clean-CAND-04320,Phone Screen,2026-07-01T08:00:00,2026-07-01T13:00:00,Completed,1.3,4.2,4.7,No Hire,Power no meet nearly along main.
review-clean4-clean-INT-0005368,review-clean4-clean-APP-003147,review-clean4-clean-CAND-04299,Phone Screen,2026-08-16T11:00:00,2026-08-16T17:00:00,Completed,3.4,1.9,4.4,Hire,Live plant experience soldier morning quality.
review-clean4-clean-INT-0005369,review-clean4-clean-APP-003148,review-clean4-clean-CAND-03836,Phone Screen,2026-07-11T17:00:00,2026-07-11T19:00:00,Cancelled,2.2,4.3,2.2,Leaning No,Near house federal because receive conference.
review-clean4-clean-INT-0005370,review-clean4-clean-APP-003148,review-clean4-clean-CAND-03836,Phone Screen,2026-07-13T10:00:00,2026-07-13T17:00:00,Completed,4.7,4.6,3.5,No Hire,Large drug history race.
review-clean4-clean-INT-0005371,review-clean4-clean-APP-003149,review-clean4-clean-CAND-03913,Phone Screen,2026-08-20T10:00:00,2026-08-20T11:00:00,Completed,,3.0,4.0,Hire,Protect well before generation contain miss wish debate.
review-clean4-clean-INT-0005372,review-clean4-clean-APP-003149,review-clean4-clean-CAND-03913,Phone Screen,2026-08-21T10:00:00,2026-08-21T11:00:00,Completed,4.9,3.0,3.5,Hire,Beat level morning drive.
review-clean4-clean-INT-0005373,review-clean4-clean-APP-003150,review-clean4-clean-CAND-01047,Phone Screen,2026-08-12T09:00:00,2026-08-12T11:00:00,Completed,1.8,3.5,,Hire,Attack expect total professor kid knowledge imagine culture.
review-clean4-clean-INT-0005374,review-clean4-clean-APP-003150,review-clean4-clean-CAND-01047,Cultural Fit,2026-08-15T17:00:00,2026-08-15T22:00:00,Cancelled,4.0,4.1,,Hire,Probably back why adult attack Mr system.
review-clean4-clean-INT-0005375,review-clean4-clean-APP-003151,review-clean4-clean-CAND-02037,Phone Screen,2026-07-07T11:00:00,2026-07-07T13:00:00,Completed,,4.8,,Leaning No,Market them we why.
review-clean4-clean-INT-0005376,review-clean4-clean-APP-003151,review-clean4-clean-CAND-02037,Technical,2026-07-09T09:00:00,2026-07-09T14:00:00,Cancelled,2.3,2.2,3.7,Leaning No,
review-clean4-clean-INT-0005377,review-clean4-clean-APP-003152,review-clean4-clean-CAND-02421,Phone Screen,2026-07-01T17:00:00,2026-07-01T23:00:00,Completed,1.8,,,Hire,Property measure miss high property situation.
review-clean4-clean-INT-0005378,review-clean4-clean-APP-003152,review-clean4-clean-CAND-02421,Technical,2026-07-03T10:00:00,2026-07-03T11:00:00,Completed,3.3,,5.0,Hire,
review-clean4-clean-INT-0005379,review-clean4-clean-APP-003153,review-clean4-clean-CAND-04514,Phone Screen,2026-08-03T17:00:00,2026-08-03T23:00:00,Completed,1.7,4.3,3.7,Strong Hire,Weight form reflect professor.
review-clean4-clean-INT-0005380,review-clean4-clean-APP-003153,review-clean4-clean-CAND-04514,Coding Challenge,2026-08-06T08:00:00,2026-08-06T11:00:00,Completed,,,,Strong Hire,
review-clean4-clean-INT-0005381,review-clean4-clean-APP-003154,review-clean4-clean-CAND-04206,Phone Screen,2026-06-29T09:00:00,2026-06-29T12:00:00,Cancelled,4.2,1.7,3.5,Hire,Likely whose idea certain attorney decide.
review-clean4-clean-INT-0005382,review-clean4-clean-APP-003154,review-clean4-clean-CAND-04206,Phone Screen,2026-07-01T08:00:00,,Scheduled,3.7,,2.6,Leaning No,Form most identify fish box discussion.
review-clean4-clean-INT-0005383,review-clean4-clean-APP-003155,review-clean4-clean-CAND-03481,Phone Screen,2026-06-11T08:00:00,2026-06-11T14:00:00,Completed,2.7,1.1,,Leaning No,As throughout quality do.
review-clean4-clean-INT-0005384,review-clean4-clean-APP-003155,review-clean4-clean-CAND-03481,Technical,2026-06-13T13:00:00,2026-06-13T21:00:00,Completed,4.9,4.0,3.1,Leaning No,By past politics machine another see rule.
review-clean4-clean-INT-0005385,review-clean4-clean-APP-003156,review-clean4-clean-CAND-03807,Phone Screen,2026-07-01T10:00:00,2026-07-01T12:00:00,Completed,2.0,4.0,5.0,Hire,Interview skin TV effect study space situation.
review-clean4-clean-INT-0005386,review-clean4-clean-APP-003156,review-clean4-clean-CAND-03807,Technical,2026-07-04T15:00:00,2026-07-04T21:00:00,Completed,1.3,,1.1,Hire,
review-clean4-clean-INT-0005387,review-clean4-clean-APP-003156,review-clean4-clean-CAND-03807,Final Panel,2026-07-07T14:00:00,,Scheduled,1.8,,1.6,No Hire,Management son scene note.
review-clean4-clean-INT-0005388,review-clean4-clean-APP-003157,review-clean4-clean-CAND-04657,Phone Screen,2026-08-08T15:00:00,2026-08-08T23:00:00,Cancelled,4.7,1.9,3.5,Strong Hire,Increase already yet spring friend reality close hold.
review-clean4-clean-INT-0005389,review-clean4-clean-APP-003157,review-clean4-clean-CAND-04657,Phone Screen,2026-08-11T11:00:00,2026-08-11T17:00:00,Completed,2.2,,2.3,Leaning No,
review-clean4-clean-INT-0005390,review-clean4-clean-APP-003157,review-clean4-clean-CAND-04657,Coding Challenge,2026-08-14T16:00:00,2026-08-15T00:00:00,Completed,,3.3,3.0,No Hire,Scene enjoy history too.
review-clean4-clean-INT-0005391,review-clean4-clean-APP-003158,review-clean4-clean-CAND-02912,Phone Screen,2026-06-19T16:00:00,,Scheduled,,2.8,1.0,Hire,
review-clean4-clean-INT-0005392,review-clean4-clean-APP-003158,review-clean4-clean-CAND-02912,Technical,2026-06-21T17:00:00,2026-06-21T20:00:00,Cancelled,4.2,2.9,3.1,No Hire,Child probably save guess main laugh.
review-clean4-clean-INT-0005393,review-clean4-clean-APP-003159,review-clean4-clean-CAND-00670,Phone Screen,2026-07-17T11:00:00,,Scheduled,1.8,3.6,3.4,No Hire,Try boy myself cause wait.
review-clean4-clean-INT-0005394,review-clean4-clean-APP-003159,review-clean4-clean-CAND-00670,Phone Screen,2026-07-20T11:00:00,2026-07-20T12:00:00,Cancelled,2.4,3.5,2.6,Strong Hire,
review-clean4-clean-INT-0005395,review-clean4-clean-APP-003160,review-clean4-clean-CAND-00134,Phone Screen,2026-06-12T12:00:00,2026-06-12T19:00:00,Cancelled,3.8,,1.2,Hire,
review-clean4-clean-INT-0005396,review-clean4-clean-APP-003160,review-clean4-clean-CAND-00134,Cultural Fit,2026-06-14T13:00:00,,Scheduled,2.6,2.5,3.2,Strong Hire,City this respond bar.
review-clean4-clean-INT-0005397,review-clean4-clean-APP-003161,review-clean4-clean-CAND-03792,Phone Screen,2026-07-10T13:00:00,2026-07-10T15:00:00,Cancelled,2.8,3.7,2.9,Leaning No,
review-clean4-clean-INT-0005398,review-clean4-clean-APP-003162,review-clean4-clean-CAND-03220,Phone Screen,2026-07-01T08:00:00,2026-07-01T16:00:00,Cancelled,3.0,2.3,2.5,No Hire,Matter art bank everyone.
review-clean4-clean-INT-0005399,review-clean4-clean-APP-003163,review-clean4-clean-CAND-03410,Phone Screen,2026-06-27T11:00:00,2026-06-27T15:00:00,Completed,1.4,,4.1,Strong Hire,Appear rest wish effect wind fire table.
review-clean4-clean-INT-0005400,review-clean4-clean-APP-003164,review-clean4-clean-CAND-02439,Phone Screen,2026-05-31T14:00:00,2026-05-31T20:00:00,Completed,,3.1,1.9,Hire,Land magazine face population change Congress.
review-clean4-clean-INT-0005401,review-clean4-clean-APP-003164,review-clean4-clean-CAND-02439,Technical,2026-06-02T13:00:00,2026-06-02T20:00:00,Completed,2.9,3.8,4.0,No Hire,Attention camera production yourself near statement drop hope.
review-clean4-clean-INT-0005402,review-clean4-clean-APP-003165,review-clean4-clean-CAND-03728,Phone Screen,2026-08-28T10:00:00,2026-08-28T18:00:00,Completed,,3.6,3.1,Strong Hire,Perhaps eat onto political modern.
review-clean4-clean-INT-0005403,review-clean4-clean-APP-003165,review-clean4-clean-CAND-03728,Final Panel,2026-08-29T14:00:00,2026-08-29T16:00:00,Completed,2.8,,2.8,No Hire,
review-clean4-clean-INT-0005404,review-clean4-clean-APP-003166,review-clean4-clean-CAND-03686,Phone Screen,2026-07-11T15:00:00,,Scheduled,1.6,,2.6,No Hire,Over spend market catch wonder law.
review-clean4-clean-INT-0005405,review-clean4-clean-APP-003166,review-clean4-clean-CAND-03686,Technical,2026-07-12T17:00:00,,Scheduled,3.4,2.0,3.7,Strong Hire,
review-clean4-clean-INT-0005406,review-clean4-clean-APP-003166,review-clean4-clean-CAND-03686,Final Panel,2026-07-13T13:00:00,,Scheduled,3.3,2.0,1.0,Leaning No,Member series interview listen too couple.
review-clean4-clean-INT-0005407,review-clean4-clean-APP-003168,review-clean4-clean-CAND-01730,Phone Screen,2026-06-01T10:00:00,2026-06-01T15:00:00,Completed,4.9,3.0,3.5,No Hire,Personal else federal.
review-clean4-clean-INT-0005408,review-clean4-clean-APP-003168,review-clean4-clean-CAND-01730,Final Panel,2026-06-03T11:00:00,2026-06-03T18:00:00,Cancelled,1.1,4.8,1.9,No Hire,
review-clean4-clean-INT-0005409,review-clean4-clean-APP-003170,review-clean4-clean-CAND-00872,Phone Screen,2026-08-03T17:00:00,2026-08-04T00:00:00,Completed,2.3,4.6,2.5,No Hire,Modern girl my pass ahead article human spend.
review-clean4-clean-INT-0005410,review-clean4-clean-APP-003170,review-clean4-clean-CAND-00872,Phone Screen,2026-08-04T11:00:00,2026-08-04T14:00:00,Completed,1.6,2.7,1.9,Strong Hire,Father modern wind staff chair suddenly fact.
review-clean4-clean-INT-0005411,review-clean4-clean-APP-003170,review-clean4-clean-CAND-00872,Final Panel,2026-08-09T12:00:00,2026-08-09T20:00:00,Completed,5.0,1.4,4.8,Leaning No,Maybe mother not network concern environment.
review-clean4-clean-INT-0005412,review-clean4-clean-APP-003171,review-clean4-clean-CAND-00147,Phone Screen,2026-08-25T13:00:00,2026-08-25T19:00:00,Cancelled,2.4,1.5,1.2,Leaning No,Home where drug central morning.
review-clean4-clean-INT-0005413,review-clean4-clean-APP-003172,review-clean4-clean-CAND-00956,Phone Screen,2026-06-27T08:00:00,2026-06-27T13:00:00,Completed,3.6,,3.8,Hire,Someone reach amount water learn.
review-clean4-clean-INT-0005414,review-clean4-clean-APP-003172,review-clean4-clean-CAND-00956,Technical,2026-06-29T08:00:00,2026-06-29T13:00:00,Completed,1.6,3.6,3.2,Leaning No,Early note and middle rate century also whatever.
review-clean4-clean-INT-0005415,review-clean4-clean-APP-003173,review-clean4-clean-CAND-03909,Phone Screen,2026-08-26T12:00:00,,Scheduled,1.8,3.6,1.9,Leaning No,Game benefit catch range.
review-clean4-clean-INT-0005416,review-clean4-clean-APP-003173,review-clean4-clean-CAND-03909,Phone Screen,2026-08-27T17:00:00,,Scheduled,4.9,4.8,1.4,Hire,Back himself everything foot style resource.
review-clean4-clean-INT-0005417,review-clean4-clean-APP-003173,review-clean4-clean-CAND-03909,Technical,2026-09-01T09:00:00,2026-09-01T12:00:00,Completed,3.1,4.2,3.7,Leaning No,Close discover account short teacher later.
review-clean4-clean-INT-0005418,review-clean4-clean-APP-003173,review-clean4-clean-CAND-03909,Final Panel,2026-09-01T17:00:00,2026-09-01T20:00:00,Completed,3.2,2.0,1.9,Hire,Head pass seem day citizen rise ago.
review-clean4-clean-INT-0005419,review-clean4-clean-APP-003174,review-clean4-clean-CAND-03319,Phone Screen,2026-07-11T12:00:00,2026-07-11T14:00:00,Completed,2.2,1.9,1.1,No Hire,
review-clean4-clean-INT-0005420,review-clean4-clean-APP-003175,review-clean4-clean-CAND-04931,Phone Screen,2026-08-27T08:00:00,2026-08-27T09:00:00,Cancelled,2.5,3.7,3.4,No Hire,Expert their meeting expert claim.
review-clean4-clean-INT-0005421,review-clean4-clean-APP-003176,review-clean4-clean-CAND-02481,Phone Screen,2026-06-10T13:00:00,2026-06-10T15:00:00,Completed,2.9,1.1,3.4,Leaning No,Western thing finally evening player back artist.
review-clean4-clean-INT-0005422,review-clean4-clean-APP-003176,review-clean4-clean-CAND-02481,Coding Challenge,2026-06-11T08:00:00,2026-06-11T15:00:00,Completed,2.0,2.4,3.4,Hire,Cell worker name professional government.
review-clean4-clean-INT-0005423,review-clean4-clean-APP-003177,review-clean4-clean-CAND-02956,Phone Screen,2026-05-27T13:00:00,2026-05-27T18:00:00,Completed,2.8,,2.0,No Hire,
review-clean4-clean-INT-0005424,review-clean4-clean-APP-003177,review-clean4-clean-CAND-02956,Cultural Fit,2026-05-28T12:00:00,2026-05-28T15:00:00,Cancelled,,,1.6,Leaning No,
review-clean4-clean-INT-0005425,review-clean4-clean-APP-003178,review-clean4-clean-CAND-03236,Phone Screen,2026-08-15T14:00:00,2026-08-15T15:00:00,Cancelled,4.3,3.5,2.6,Leaning No,Drug resource when loss area.
review-clean4-clean-INT-0005426,review-clean4-clean-APP-003179,review-clean4-clean-CAND-00718,Phone Screen,2026-06-15T11:00:00,2026-06-15T17:00:00,Cancelled,1.0,2.3,,No Hire,Nature Mrs baby institution season seven.
review-clean4-clean-INT-0005427,review-clean4-clean-APP-003179,review-clean4-clean-CAND-00718,Coding Challenge,2026-06-18T13:00:00,2026-06-18T18:00:00,Completed,,1.0,4.7,Leaning No,Where information chance even behavior carry program bag.
review-clean4-clean-INT-0005428,review-clean4-clean-APP-003180,review-clean4-clean-CAND-00114,Phone Screen,2026-08-14T12:00:00,,Scheduled,1.9,4.1,,Hire,Well hand may party crime pattern.
review-clean4-clean-INT-0005429,review-clean4-clean-APP-003181,review-clean4-clean-CAND-00131,Phone Screen,2026-08-13T11:00:00,2026-08-13T16:00:00,Completed,3.6,2.0,1.4,Hire,
review-clean4-clean-INT-0005430,review-clean4-clean-APP-003181,review-clean4-clean-CAND-00131,Technical,2026-08-15T10:00:00,,Scheduled,4.8,1.7,2.8,No Hire,
review-clean4-clean-INT-0005431,review-clean4-clean-APP-003182,review-clean4-clean-CAND-00220,Phone Screen,2026-06-03T14:00:00,2026-06-03T21:00:00,Completed,3.6,3.0,2.8,No Hire,Again myself environment camera simply.
review-clean4-clean-INT-0005432,review-clean4-clean-APP-003182,review-clean4-clean-CAND-00220,Technical,2026-06-05T11:00:00,2026-06-05T15:00:00,Completed,1.3,1.1,4.5,Strong Hire,Level production late around marriage people.
review-clean4-clean-INT-0005433,review-clean4-clean-APP-003182,review-clean4-clean-CAND-00220,Phone Screen,2026-06-07T09:00:00,,Scheduled,1.5,,3.8,No Hire,Success feel today stand.
review-clean4-clean-INT-0005434,review-clean4-clean-APP-003184,review-clean4-clean-CAND-03570,Phone Screen,2026-06-09T09:00:00,,Scheduled,1.4,2.4,2.0,Hire,Save we for owner just.
review-clean4-clean-INT-0005435,review-clean4-clean-APP-003184,review-clean4-clean-CAND-03570,Technical,2026-06-12T13:00:00,2026-06-12T18:00:00,Completed,2.4,2.1,2.5,Hire,Discover body space really.
review-clean4-clean-INT-0005436,review-clean4-clean-APP-003185,review-clean4-clean-CAND-04413,Phone Screen,2026-06-20T12:00:00,2026-06-20T19:00:00,Completed,3.4,4.7,2.3,No Hire,Song street decision purpose candidate church.
review-clean4-clean-INT-0005437,review-clean4-clean-APP-003185,review-clean4-clean-CAND-04413,Coding Challenge,2026-06-22T17:00:00,2026-06-23T01:00:00,Cancelled,1.8,4.1,1.6,Strong Hire,
review-clean4-clean-INT-0005438,review-clean4-clean-APP-003186,review-clean4-clean-CAND-02466,Phone Screen,2026-07-03T11:00:00,2026-07-03T13:00:00,Completed,1.2,2.9,5.0,Leaning No,
review-clean4-clean-INT-0005439,review-clean4-clean-APP-003186,review-clean4-clean-CAND-02466,Coding Challenge,2026-07-06T10:00:00,,Scheduled,1.6,3.3,2.8,Leaning No,Fish rise investment discuss watch.
review-clean4-clean-INT-0005440,review-clean4-clean-APP-003187,review-clean4-clean-CAND-01214,Phone Screen,2026-06-05T09:00:00,2026-06-05T11:00:00,Completed,1.2,,2.9,Hire,Month he degree between actually occur.
review-clean4-clean-INT-0005441,review-clean4-clean-APP-003187,review-clean4-clean-CAND-01214,Coding Challenge,2026-06-08T13:00:00,2026-06-08T21:00:00,Completed,1.1,3.4,2.4,Hire,Tax never general Republican career.
review-clean4-clean-INT-0005442,review-clean4-clean-APP-003188,review-clean4-clean-CAND-00179,Phone Screen,2026-06-08T10:00:00,2026-06-08T15:00:00,Completed,1.9,4.2,5.0,Leaning No,Race reason list alone cost.
review-clean4-clean-INT-0005443,review-clean4-clean-APP-003189,review-clean4-clean-CAND-01249,Phone Screen,2026-07-25T15:00:00,2026-07-25T23:00:00,Completed,,1.2,,Hire,
review-clean4-clean-INT-0005444,review-clean4-clean-APP-003189,review-clean4-clean-CAND-01249,Final Panel,2026-07-28T12:00:00,2026-07-28T20:00:00,Completed,4.5,,1.7,Leaning No,Paper home contain second.
review-clean4-clean-INT-0005445,review-clean4-clean-APP-003190,review-clean4-clean-CAND-03648,Phone Screen,2026-08-19T12:00:00,2026-08-19T17:00:00,Completed,4.0,1.3,4.2,No Hire,Dog sit sport upon.
review-clean4-clean-INT-0005446,review-clean4-clean-APP-003190,review-clean4-clean-CAND-03648,Technical,2026-08-22T08:00:00,2026-08-22T16:00:00,Completed,,2.3,1.4,Strong Hire,West natural major itself increase scene simply.
review-clean4-clean-INT-0005447,review-clean4-clean-APP-003191,review-clean4-clean-CAND-03863,Phone Screen,2026-06-17T16:00:00,2026-06-17T21:00:00,Completed,3.1,3.4,,Strong Hire,Notice management her person fine.
review-clean4-clean-INT-0005448,review-clean4-clean-APP-003191,review-clean4-clean-CAND-03863,Final Panel,2026-06-20T12:00:00,2026-06-20T17:00:00,Completed,,4.8,1.5,No Hire,
