interview_id,application_id,candidate_id,interview_type,scheduled_at,completed_at,interview_status,technical_score,communication_score,overall_score,recommendation,feedback
review-clean4-messy-INT-0004804,review-clean4-messy-APP-002807,review-clean4-messy-CAND-04210,Final Panel,2026-07-07T13:00:00,,Scheduled,4.7,2.2,3.4,Hire,Affect view Republican interview we inside.
review-clean4-messy-INT-0004805,review-clean4-messy-APP-002808,review-clean4-messy-CAND-01502,Phone Screen,08/26T16:00:00/2026,,Scheduled,3.2,,4.6,No Hire,
review-clean4-messy-INT-0004806,review-clean4-messy-APP-002809,review-clean4-messy-CAND-04906,Phone Screen,2026-08-10T13:00:00,2026-08-10T15:00:00,Completed,,1.5,4.1,Leaning No,
review-clean4-messy-INT-0004807,review-clean4-messy-APP-002810,review-clean4-messy-CAND-04455,Phone Screen,2026-06-24T17:00:00,2026-06-24T19:00:00,Done,,,,Hire, Important get suggest decide history within market tend. 
review-clean4-messy-INT-0004808,review-clean4-messy-APP-002810,review-clean4-messy-CAND-04455,Cultural Fit,06/27T17:00:00/2026,2026-06-27T21:00:00,Completed,  ,,4.3,Hire, Ask public add sell employee. 
review-clean4-messy-INT-0004809,review-clean4-messy-APP-002811,review-clean4-messy-CAND-02467,Phone Screen,2026-08-01T16:00:00,2026-08-01T22:00:00,Cancelled,1.8,foo,1.5,Strong Hire, Job exist such five skin hold according. 
review-clean4-messy-INT-0004810,review-clean4-messy-APP-002811,review-clean4-messy-CAND-02467,HR Round,2026-08-02T12:00:00,08/02T15:00:00/2026,Completed,foo,1.8,4.1,No Hire,Need rather account message.
review-clean4-messy-INT-0004811,review-clean4-messy-APP-002812,review-clean4-messy-CAND-02970,Phone Screen,2026-07-10T09:00:00,,Scheduled,1.6,  ,2.1,No Hire,
review-clean4-messy-INT-0004812,review-clean4-messy-APP-002812,review-clean4-messy-CAND-02970,Final Panel,2026-07-11T15:00:00,2026-07-11T18:00:00,Completed,2.4,2.3,4.2,No Hire,
review-clean4-messy-INT-0004813,review-clean4-messy-APP-002813,review-clean4-messy-CAND-04752,Phone Screen,2026-07-24T14:00:00,,Scheduled,2.6,5.0,2.7,Hire,
review-clean4-messy-INT-0004814,review-clean4-messy-APP-002813,review-clean4-messy-CAND-04752,Coding Challenge,07/27T11:00:00/2026,2026-07-27T14:00:00,Completed,1.7,2.6,,Hire,Represent ok political live not.
review-clean4-messy-INT-0004815,review-clean4-messy-APP-002814,review-clean4-messy-CAND-00106, Phone Screen ,06/20T14:00:00/2026,,Rejected,2.6, 2.8 ,3.5,hire, Or southern next task well move themselves. 
review-clean4-messy-INT-0004816,review-clean4-messy-APP-002815,review-clean4-messy-CAND-02306,Phone Screen,2026-06-30T08:00:00,2026-06-30T09:00:00,Done,4.5,3.3,NaN,Hire,Benefit forward best modern.
review-clean4-messy-INT-0004817,review-clean4-messy-APP-002816,review-clean4-messy-CAND-03376,Final Panel,2026-08-04T17:00:00,,Scheduled,N/A,foo,2.2,Strong Hire,
review-clean4-messy-INT-0004818,review-clean4-messy-APP-002817,review-clean4-messy-CAND-00840,HR Round,07/16T14:00:00/2026,,Completed,N/A,N/A,2.8,Hire,Allow mind require raise floor by in.
review-clean4-messy-INT-0004819,review-clean4-messy-APP-002817,review-clean4-messy-CAND-00840,Technical,07/18T09:00:00/2026,,scheduled,4.0,,2.3,Hire,Others beat campaign million different.
review-clean4-messy-INT-0004820,review-clean4-messy-APP-002818,review-clean4-messy-CAND-04124,Phone Screen,2026-07-19T13:00:00,,Completed,,,4.2,Strong Hire,
review-clean4-messy-INT-0004821,review-clean4-messy-APP-002820,review-clean4-messy-CAND-04307,Final Panel,2026-06-07T15:00:00,2026-06-07T17:00:00,Completed,NaN,NaN, 1.7 ,,Blue somebody street their front see maintain.
review-clean4-messy-INT-0004822,review-clean4-messy-APP-002820,review-clean4-messy-CAND-04307,HR Round,2026-06-10T14:00:00,2026-06-10T17:00:00,Offer accepted,1.0,2.0,1.4,leaning no,
review-clean4-messy-INT-0004823,review-clean4-messy-APP-002820,review-clean4-messy-CAND-04307, Coding Challenge ,2026-06-13T16:00:00,,Scheduled,,N/A,2.4,Strong Hire,Cut deal suffer should leave face early.
review-clean4-messy-INT-0004824,review-clean4-messy-APP-002821,review-clean4-messy-CAND-04515,Phone Screen,07/15T10:00:00/2026,,Completed,2.3,3.0,4.5,Leaning No,For require soldier major wear.
review-clean4-messy-INT-0004825,review-clean4-messy-APP-002822,review-clean4-messy-CAND-03419,Phone Screen,2026-07-24T10:00:00,2026-07-24T12:00:00,Completed,3.7,3.9,2.3,Hire, Situation general pattern weight. 
review-clean4-messy-INT-0004826,review-clean4-messy-APP-002822,review-clean4-messy-CAND-03419,Phone Screen,2026-07-26T17:00:00,,Scheduled,3.0,3.8,3.6,Hire,
review-clean4-messy-INT-0004827,review-clean4-messy-APP-002824,review-clean4-messy-CAND-00143,Phone Screen,2026-06-27T10:00:00,,Completed,,3.5,3.9,Maybe,Process artist technology there fly send.
review-clean4-messy-INT-0004828,review-clean4-messy-APP-002824,review-clean4-messy-CAND-00143,Technical,2026-06-29T13:00:00,2026-06-29T18:00:00,Completed,4.8,3.7,  ,No Hire,Personal front himself other lay light.
review-clean4-messy-INT-0004829,review-clean4-messy-APP-002824,review-clean4-messy-CAND-00143,HR Round,2026-07-01T11:00:00,2026-07-01T17:00:00,Completed,4.2,4.2,2.5,Leaning No,
review-clean4-messy-INT-0004830,review-clean4-messy-APP-002824,review-clean4-messy-CAND-00143,Final Panel,06/30T11:00:00/2026,,Scheduled,4.0,4.6,  ,leaning no,
review-clean4-messy-INT-0004831,review-clean4-messy-APP-002825,review-clean4-messy-CAND-02553,Phone Screen,2026-06-22T10:00:00,,SCHEDULED,,2.0,1.3,Hire,Expert doctor free could exist.
review-clean4-messy-INT-0004832,review-clean4-messy-APP-002826,review-clean4-messy-CAND-01139,Phone Screen,2026-06-18T13:00:00,2026-06-18T21:00:00,Completed,3.1,3.8,4.2,Hire, Require find or. 
review-clean4-messy-INT-0004833,review-clean4-messy-APP-002826,review-clean4-messy-CAND-01139,Final Panel,2026-06-19T15:00:00,2026-06-19T17:00:00,Completed,N/A,2.9, 1.7 ,Hire,Kid knowledge population fast record fight education.
review-clean4-messy-INT-0004834,review-clean4-messy-APP-002827,review-clean4-messy-CAND-04896,phone screen,2026-07-01T15:00:00,2026-07-01T18:00:00,Completed,3.0,,1.5,No Hire,Boy suggest talk major.
review-clean4-messy-INT-0004835,review-clean4-messy-APP-002828,review-clean4-messy-CAND-01411,HR Round,2026-08-03T12:00:00,2026-08-03T15:00:00,Cancelled,NaN,  ,,Strong Hire,Wonder process black camera form for myself majority.
review-clean4-messy-INT-0004836,review-clean4-messy-APP-002829,review-clean4-messy-CAND-00236,Phone Screen,2026-08-06T10:00:00,2026-08-06T13:00:00,Completed,,5.0,3.9,No Hire,
review-clean4-messy-INT-0004837,review-clean4-messy-APP-002829,review-clean4-messy-CAND-00236,Coding Challenge,2026-08-07T13:00:00,08/07T15:00:00/2026,Completed,1.3,2.4,,Hire,Evidence always single around show future debate.
review-clean4-messy-INT-0004838,review-clean4-messy-APP-002830,review-clean4-messy-CAND-01822,Phone Screen,2026-06-12T12:00:00,,Rejected,1.2,1.8,1.6,Strong Hire,
review-clean4-messy-INT-0004839,review-clean4-messy-APP-002830,review-clean4-messy-CAND-01822,Final Panel,2026-06-15T08:00:00,2026-06-15T13:00:00,Completed,1.4,5.0,,No Hire, Health nation production follow individual none. 
review-clean4-messy-INT-0004840,review-clean4-messy-APP-002831,review-clean4-messy-CAND-01167, Phone Screen ,2026-07-02T16:00:00,,Offer accepted,1.4,,1.8,No Hire,Ready despite make entire look man.
review-clean4-messy-INT-0004841,review-clean4-messy-APP-002831,review-clean4-messy-CAND-01167,Final Panel,2026-07-04T08:00:00,,Scheduled,,,2.5,strong hire,
review-clean4-messy-INT-0004842,review-clean4-messy-APP-002832,review-clean4-messy-CAND-02519,Phone Screen,2026-06-27T11:00:00,,Scheduled,1.3,  ,1.8,no hire,
review-clean4-messy-INT-0004843,review-clean4-messy-APP-002832,review-clean4-messy-CAND-02519,final panel,2026-06-30T16:00:00,,Scheduled,,3.4,,Leaning No,
review-clean4-messy-INT-0004844,review-clean4-messy-APP-002833,review-clean4-messy-CAND-01067,Phone Screen,2026-08-26T16:00:00,08/26T22:00:00/2026,Completed,4.4,4.8,,strong hire,Enjoy story agent happy learn.
review-clean4-messy-INT-0004845,review-clean4-messy-APP-002833,review-clean4-messy-CAND-01067,Cultural Fit,08/29T17:00:00/2026,08/29T22:00:00/2026,Cancelled,2.8,3.0,4.5,Hire,Particularly right window want.
review-clean4-messy-INT-0004846,review-clean4-messy-APP-002834,review-clean4-messy-CAND-00916,HR Round,2026-06-15T12:00:00,,Scheduled,1.5,foo,,hire,Stuff happen share we significant theory.
review-clean4-messy-INT-0004847,review-clean4-messy-APP-002834,review-clean4-messy-CAND-00916,Coding Challenge,2026-06-17T10:00:00,,Completed,3.7,3.0,4.2,Hire,Place term throughout do without key quite.
review-clean4-messy-INT-0004848,review-clean4-messy-APP-002835,review-clean4-messy-CAND-03968,Phone Screen,06/28T10:00:00/2026,,Offer accepted,, 1.6 ,NaN,Strong Hire,Eight suggest almost save yeah next data.
review-clean4-messy-INT-0004849,review-clean4-messy-APP-002835,review-clean4-messy-CAND-03968,Technical,2026-06-30T16:00:00,2026-06-30T19:00:00,Cancelled,,N/A,foo,Hire,Top see seven mind worry area activity.
review-clean4-messy-INT-0004850,review-clean4-messy-APP-002836,review-clean4-messy-CAND-00349, Phone Screen ,2026-08-14T15:00:00,,Scheduled,, 2.4 ,5.0,Hire,Along save friend sense consumer.
review-clean4-messy-INT-0004851,review-clean4-messy-APP-002836,review-clean4-messy-CAND-00349,Technical,08/16T16:00:00/2026,,Scheduled,NaN,1.4,foo,,Try magazine reach TV.
review-clean4-messy-INT-0004852,review-clean4-messy-APP-002837,review-clean4-messy-CAND-00269,Phone Screen,2026-06-02T14:00:00,2026-06-02T19:00:00,Completed,1.4,1.5,3.1,Leaning No,
review-clean4-messy-INT-0004853,review-clean4-messy-APP-002837,review-clean4-messy-CAND-00269,Cultural Fit,2026-06-05T17:00:00,,Completed, 5.0 ,,  ,strong hire,Deep professor join.
review-clean4-messy-INT-0004854,review-clean4-messy-APP-002839,review-clean4-messy-CAND-03843,Phone Screen,08/20T15:00:00/2026,,Cancelled,4.6,4.7,N/A,No Hire,Example itself growth successful maybe environment.
review-clean4-messy-INT-0004855,review-clean4-messy-APP-002839,review-clean4-messy-CAND-03843,Coding Challenge,2026-08-22T09:00:00,2026-08-22T11:00:00,Completed,4.4,,4.8,Leaning No,So marriage town performance moment mention fight.
review-clean4-messy-INT-0004856,review-clean4-messy-APP-002840,review-clean4-messy-CAND-00355,Phone Screen,2026-07-02T11:00:00,2026-07-02T18:00:00,Completed,NaN,1.6,N/A,Hire,Personal rise people these let ok be.
review-clean4-messy-INT-0004857,review-clean4-messy-APP-002840,review-clean4-messy-CAND-00355,Phone Screen,2026-07-04T11:00:00,2026-07-04T16:00:00,Cancelled,3.2,,4.9,strong hire,Them beautiful true own family.
review-clean4-messy-INT-0004858,review-clean4-messy-APP-002840,review-clean4-messy-CAND-00355,cultural fit,2026-07-04T16:00:00,2026-07-05T00:00:00,Completed,1.1,2.1,foo,Leaning No,Positive partner use open.
review-clean4-messy-INT-0004859,review-clean4-messy-APP-002840,review-clean4-messy-CAND-00355,technical,2026-07-08T15:00:00,2026-07-08T17:00:00,Rejected,,NaN,,Hire,Son police number great.
review-clean4-messy-INT-0004860,review-clean4-messy-APP-002841,review-clean4-messy-CAND-00085,Phone Screen,06/14T10:00:00/2026,06/14T18:00:00/2026,No hire,, 3.5 ,2.1,Hire,
review-clean4-messy-INT-0004861,review-clean4-messy-APP-002842,review-clean4-messy-CAND-01015,Phone Screen,2026-05-31T13:00:00,,Scheduled,2.4,,3.6,Hire, Much power talk. 
review-clean4-messy-INT-0004862,review-clean4-messy-APP-002842,review-clean4-messy-CAND-01015,technical,2026-06-01T15:00:00,,Completed,,foo,2.3,Leaning No,Way seven provide while hotel.
review-clean4-messy-INT-0004863,review-clean4-messy-APP-002843,review-clean4-messy-CAND-01683,Phone Screen,2026-07-11T13:00:00,2026-07-11T21:00:00,Completed,4.1,1.5, 3.2 ,Hire,My produce paper modern certainly again.
review-clean4-messy-INT-0004864,review-clean4-messy-APP-002843,review-clean4-messy-CAND-01683,Coding Challenge,2026-07-12T11:00:00,,Scheduled,,,2.6,Hire,Walk vote former political.
review-clean4-messy-INT-0004865,review-clean4-messy-APP-002844,review-clean4-messy-CAND-01514,Final Panel,2026-07-11T13:00:00,2026-07-11T19:00:00,Completed,NaN,4.6,NaN,leaning no,There trouble end.
review-clean4-messy-INT-0004866,review-clean4-messy-APP-002845,review-clean4-messy-CAND-00240,phone screen,2026-08-06T14:00:00,2026-08-06T16:00:00,Joined,foo,1.0,3.9,No Hire,
review-clean4-messy-INT-0004867,review-clean4-messy-APP-002847,review-clean4-messy-CAND-02850,phone screen,07/23T10:00:00/2026,2026-07-23T18:00:00,completed,3.9,1.3,5.0,Hire, Such your development front stuff executive. 
review-clean4-messy-INT-0004868,review-clean4-messy-APP-002848,review-clean4-messy-CAND-04102,Phone Screen,2026-08-24T13:00:00,08/24T14:00:00/2026,Cancelled,3.0,1.1,2.4,Hire,
review-clean4-messy-INT-0004869,review-clean4-messy-APP-002848,review-clean4-messy-CAND-04102,Coding Challenge,08/25T12:00:00/2026,08/25T14:00:00/2026,Completed,,, 2.2 ,no hire,Yes music skill walk.
review-clean4-messy-INT-0004870,review-clean4-messy-APP-002849,review-clean4-messy-CAND-01982,Phone Screen,2026-06-14T11:00:00,06/14T15:00:00/2026,Completed,foo,,,Leaning No,
review-clean4-messy-INT-0004871,review-clean4-messy-APP-002849,review-clean4-messy-CAND-01982,Cultural Fit,2026-06-16T08:00:00,,Scheduled,4.0,1.2,1.7,Leaning No, Huge century seem large make charge. 
review-clean4-messy-INT-0004872,review-clean4-messy-APP-002850,review-clean4-messy-CAND-00560,Phone Screen,2026-07-04T16:00:00,2026-07-04T20:00:00,Completed,1.0,1.6,1.6,Hire,Friend piece identify attention exactly.
review-clean4-messy-INT-0004873,review-clean4-messy-APP-002851,review-clean4-messy-CAND-00115,phone screen,2026-06-05T11:00:00,,Rejected,,3.2,NaN,Leaning No,
review-clean4-messy-INT-0004874,review-clean4-messy-APP-002852,review-clean4-messy-CAND-01570,Phone Screen,2026-08-21T14:00:00,,Scheduled,,3.7,foo,Strong Hire,Would build scientist various trouble.
review-clean4-messy-INT-0004875,review-clean4-messy-APP-002852,review-clean4-messy-CAND-01570,phone screen,2026-08-23T13:00:00,,Cancelled,2.3,foo,1.1,Leaning No,Course these next strong office only term each.
review-clean4-messy-INT-0004876,review-clean4-messy-APP-002853,review-clean4-messy-CAND-01408,Phone Screen,07/31T11:00:00/2026,,Scheduled,,2.5,,No Hire,Condition world anything mind.
review-clean4-messy-INT-0004877,review-clean4-messy-APP-002854,review-clean4-messy-CAND-00036,Phone Screen,2026-07-02T16:00:00,2026-07-02T18:00:00,Completed,1.7,2.9,1.6,Hire,
review-clean4-messy-INT-0004878,review-clean4-messy-APP-002854,review-clean4-messy-CAND-00036,Final Panel,2026-07-04T16:00:00,,SCHEDULED,2.3,1.7,4.0,Strong Hire,
review-clean4-messy-INT-0004879,review-clean4-messy-APP-002855,review-clean4-messy-CAND-00809,Phone Screen,06/20T13:00:00/2026,2026-06-20T16:00:00,Cancelled,3.5,,  ,Hire,Officer amount answer single test evidence.
review-clean4-messy-INT-0004880,review-clean4-messy-APP-002856,review-clean4-messy-CAND-04131,Phone Screen,07/03T08:00:00/2026,07/03T15:00:00/2026,Completed,2.1,,2.1,Hire,Allow identify edge this sometimes reveal design.
review-clean4-messy-INT-0004881,review-clean4-messy-APP-002857,review-clean4-messy-CAND-03889,phone screen,2026-07-09T12:00:00,2026-07-09T20:00:00,Done,,4.7,4.9,No Hire,
review-clean4-messy-INT-0004882,review-clean4-messy-APP-002858,review-clean4-messy-CAND-04829,Phone Screen,08/21T11:00:00/2026,2026-08-21T12:00:00,Completed,3.3,3.8,4.2,Hire, Soon occur lot step. 
review-clean4-messy-INT-0004883,review-clean4-messy-APP-002858,review-clean4-messy-CAND-04829,Phone Screen,08/23T09:00:00/2026,,Scheduled,2.7,1.9,NaN,Leaning No,
review-clean4-messy-INT-0004884,review-clean4-messy-APP-002859,review-clean4-messy-CAND-00880,Phone Screen,2026-07-08T08:00:00,,Completed,4.1,,1.7,No Hire,Suddenly service situation light.
review-clean4-messy-INT-0004885,review-clean4-messy-APP-002859,review-clean4-messy-CAND-00880,Technical,2026-07-10T16:00:00,,Scheduled,foo,4.4,foo,Leaning No, Road which politics concern along. 
review-clean4-messy-INT-0004886,review-clean4-messy-APP-002860,review-clean4-messy-CAND-03110,Phone Screen,2026-07-12T14:00:00,,Cancelled,,1.1,5.0,Hire,
review-clean4-messy-INT-0004887,review-clean4-messy-APP-002861,review-clean4-messy-CAND-04213, Phone Screen ,2026-08-14T11:00:00,08/14T12:00:00/2026,Completed,3.3,  ,4.7,Leaning No,Manager many environment short.
review-clean4-messy-INT-0004888,review-clean4-messy-APP-002861,review-clean4-messy-CAND-04213,Final Panel,2026-08-16T11:00:00,,Scheduled,,1.3,3.0,,
review-clean4-messy-INT-0004889,review-clean4-messy-APP-002861,review-clean4-messy-CAND-04213,Coding Challenge,2026-08-18T08:00:00,,No hire,N/A,4.6,,No Hire,
review-clean4-messy-INT-0004890,review-clean4-messy-APP-002862,review-clean4-messy-CAND-00925,Phone Screen,2026-07-09T10:00:00,2026-07-09T16:00:00,Cancelled,4.0,  ,3.0,Strong Hire,
review-clean4-messy-INT-0004891,review-clean4-messy-APP-002863,review-clean4-messy-CAND-01013,Phone Screen,2026-07-11T08:00:00,2026-07-11T16:00:00,Cancelled,4.3,1.8,,hire,
review-clean4-messy-INT-0004892,review-clean4-messy-APP-002864,review-clean4-messy-CAND-04258,HR Round,2026-07-08T13:00:00,,Completed,,  ,,No Hire,Rule make note.
review-clean4-messy-INT-0004893,review-clean4-messy-APP-002864,review-clean4-messy-CAND-04258,Final Panel,2026-07-11T11:00:00,2026-07-11T12:00:00,Cancelled,4.2,3.8,4.4,No Hire, Bag century reach production risk. 
review-clean4-messy-INT-0004894,review-clean4-messy-APP-002865,review-clean4-messy-CAND-02960,Phone Screen,2026-07-09T09:00:00,2026-07-09T13:00:00,Completed,2.8,1.6,N/A,no hire,Only staff performance information popular.
review-clean4-messy-INT-0004895,review-clean4-messy-APP-002865,review-clean4-messy-CAND-02960,Technical,2026-07-10T12:00:00,2026-07-10T17:00:00,Cancelled,N/A,,2.3,Maybe,Begin how commercial begin go appear.
review-clean4-messy-INT-0004896,review-clean4-messy-APP-002866,review-clean4-messy-CAND-04565,Phone Screen,2026-07-05T12:00:00,2026-07-05T17:00:00,Joined,  ,,NaN,Strong Hire,
review-clean4-messy-INT-0004897,review-clean4-messy-APP-002867,review-clean4-messy-CAND-00674,Phone Screen,07/02T17:00:00/2026,2026-07-02T23:00:00,Completed,,4.5,1.4,leaning no,Kid head seem leg put.
review-clean4-messy-INT-0004898,review-clean4-messy-APP-002867,review-clean4-messy-CAND-00674,Technical,2026-07-04T12:00:00,07/04T16:00:00/2026,Completed,3.8,1.7,5.0,No Hire,
review-clean4-messy-INT-0004899,review-clean4-messy-APP-002867,review-clean4-messy-CAND-00674,Cultural Fit,07/06T14:00:00/2026,07/06T19:00:00/2026,Completed,4.2,2.1,1.1,Leaning No,
review-clean4-messy-INT-0004900,review-clean4-messy-APP-002867,review-clean4-messy-CAND-00674, Final Panel ,07/05T12:00:00/2026,,Completed, 1.5 ,2.9,3.1,Strong Hire,But assume opportunity whose take pretty painting.
review-clean4-messy-INT-0004901,review-clean4-messy-APP-002868,review-clean4-messy-CAND-00948,Phone Screen,06/29T12:00:00/2026,,Scheduled,,4.5, 3.9 ,Leaning No,Manage return long program.
review-clean4-messy-INT-0004902,review-clean4-messy-APP-002868,review-clean4-messy-CAND-00948,Coding Challenge,2026-07-02T13:00:00,2026-07-02T14:00:00,Completed,1.6,1.6,1.8,Hire,Pm ability commercial just technology simple say.
review-clean4-messy-INT-0004903,review-clean4-messy-APP-002869,review-clean4-messy-CAND-03744,phone screen,07/30T12:00:00/2026,2026-07-30T13:00:00,Completed,3.3,3.0, 1.5 ,Hire,
review-clean4-messy-INT-0004904,review-clean4-messy-APP-002869,review-clean4-messy-CAND-03744,Coding Challenge,08/02T09:00:00/2026,,Scheduled,4.0,,,leaning no,Front kind wrong face cultural.
review-clean4-messy-INT-0004905,review-clean4-messy-APP-002869,review-clean4-messy-CAND-03744,Phone Screen,2026-08-03T13:00:00,,Scheduled,2.6,  ,4.8,Hire,
review-clean4-messy-INT-0004906,review-clean4-messy-APP-002870,review-clean4-messy-CAND-02556,HR Round,2026-07-08T14:00:00,2026-07-08T21:00:00,Completed,4.9,,NaN,Leaning No,Detail nation may.
review-clean4-messy-INT-0004907,review-clean4-messy-APP-002871,review-clean4-messy-CAND-01851,Phone Screen,06/14T09:00:00/2026,,Completed,3.6,4.8,1.7,Hire,
review-clean4-messy-INT-0004908,review-clean4-messy-APP-002871,review-clean4-messy-CAND-01851,Coding Challenge,2026-06-17T16:00:00,2026-06-17T22:00:00,Completed,NaN,,,hire,Information situation expert.
review-clean4-messy-INT-0004909,review-clean4-messy-APP-002872,review-clean4-messy-CAND-02381,Phone Screen,08/11T12:00:00/2026,2026-08-11T15:00:00,Completed,,3.8,2.1,leaning no,Street film others probably talk increase.
review-clean4-messy-INT-0004910,review-clean4-messy-APP-002872,review-clean4-messy-CAND-02381,Cultural Fit,2026-08-13T15:00:00,08/13T21:00:00/2026,Completed,4.0,2.3,3.5,Hire,
review-clean4-messy-INT-0004911,review-clean4-messy-APP-002872,review-clean4-messy-CAND-02381,Technical,08/15T13:00:00/2026,2026-08-15T14:00:00,Completed,,,,Leaning No,Account return center her.
review-clean4-messy-INT-0004912,review-clean4-messy-APP-002873,review-clean4-messy-CAND-01547,Phone Screen,2026-07-17T09:00:00,,Completed,,,4.8,Hire,
review-clean4-messy-INT-0004913,review-clean4-messy-APP-002874,review-clean4-messy-CAND-03897,Phone Screen,06/16T08:00:00/2026,,Scheduled,3.0,2.5,3.5,Strong Hire,May agent rate like head write.
review-clean4-messy-INT-0004914,review-clean4-messy-APP-002875,review-clean4-messy-CAND-03011,Phone Screen,2026-06-17T15:00:00,,Offer accepted, 1.9 ,,2.9,Strong Hire, Most skill expert machine really hit food. 
review-clean4-messy-INT-0004915,review-clean4-messy-APP-002875,review-clean4-messy-CAND-03011,Cultural Fit,2026-06-19T16:00:00,06/19T17:00:00/2026,Completed,NaN, 3.7 ,  ,No Hire,Oil end well.
review-clean4-messy-INT-0004916,review-clean4-messy-APP-002876,review-clean4-messy-CAND-04028, Phone Screen ,2026-06-18T08:00:00,2026-06-18T10:00:00,Completed,3.8,1.0,1.0,Leaning No,Day treat born can community.
review-clean4-messy-INT-0004917,review-clean4-messy-APP-002876,review-clean4-messy-CAND-04028,Phone Screen,2026-06-19T14:00:00,,Scheduled,2.0,2.0,1.2,No Hire,Have else catch instead fill draw something.
review-clean4-messy-INT-0004918,review-clean4-messy-APP-002877,review-clean4-messy-CAND-03248,Final Panel,2026-08-11T17:00:00,2026-08-11T21:00:00,Offer accepted,4.1,,3.3,No Hire,Occur study firm.
review-clean4-messy-INT-0004919,review-clean4-messy-APP-002877,review-clean4-messy-CAND-03248, Coding Challenge ,2026-08-12T09:00:00,,Scheduled,,,,No Hire, Discussion expert now process interest concern. 
review-clean4-messy-INT-0004920,review-clean4-messy-APP-002878,review-clean4-messy-CAND-00697,Phone Screen,06/15T12:00:00/2026,,Scheduled,,4.4,NaN,No Hire,Man investment cut new south.
review-clean4-messy-INT-0004921,review-clean4-messy-APP-002879,review-clean4-messy-CAND-03235,Phone Screen,2026-07-25T13:00:00,,Scheduled,2.2,4.1,1.7,Hire,Arrive which article certain firm significant respond.
review-clean4-messy-INT-0004922,review-clean4-messy-APP-002879,review-clean4-messy-CAND-03235,Final Panel,2026-07-26T10:00:00,2026-07-26T16:00:00,Completed,3.7,3.7,  ,No Hire,
review-clean4-messy-INT-0004923,review-clean4-messy-APP-002880,review-clean4-messy-CAND-04838,Phone Screen,2026-06-20T13:00:00,2026-06-20T18:00:00,Completed,NaN,3.6,2.4,No Hire,Evening pick pretty dream owner home.
review-clean4-messy-INT-0004924,review-clean4-messy-APP-002881,review-clean4-messy-CAND-01383,Final Panel,2026-08-17T17:00:00,,Completed,3.0,4.5,,Hire,Owner price series smile difference somebody she.
review-clean4-messy-INT-0004925,review-clean4-messy-APP-002881,review-clean4-messy-CAND-01383,Cultural Fit,08/18T13:00:00/2026,,Scheduled,,,N/A,Strong Hire,
review-clean4-messy-INT-0004926,review-clean4-messy-APP-002882,review-clean4-messy-CAND-01631,Phone Screen,2026-08-06T08:00:00,,Scheduled,,,N/A,leaning no, Necessary someone miss so change. 
review-clean4-messy-INT-0004927,review-clean4-messy-APP-002882,review-clean4-messy-CAND-01631,Coding Challenge,08/08T14:00:00/2026,2026-08-08T19:00:00,cancelled,,  ,  ,Leaning No,But language newspaper result whom bill young.
review-clean4-messy-INT-0004928,review-clean4-messy-APP-002883,review-clean4-messy-CAND-04874,phone screen,08/04T16:00:00/2026,2026-08-04T21:00:00,Completed,3.6,4.7,4.8,No Hire,Congress center forward make still owner.
review-clean4-messy-INT-0004929,review-clean4-messy-APP-002883,review-clean4-messy-CAND-04874,Phone Screen,08/07T13:00:00/2026,08/07T20:00:00/2026,Completed,4.9,,,Maybe,Past lose window do place card often mission.
review-clean4-messy-INT-0004930,review-clean4-messy-APP-002884,review-clean4-messy-CAND-01006,Phone Screen,2026-08-09T15:00:00,2026-08-09T22:00:00,Completed,3.2,3.9,  ,Hire,Walk eight trip identify project upon.
review-clean4-messy-INT-0004931,review-clean4-messy-APP-002884,review-clean4-messy-CAND-01006,Coding Challenge,2026-08-11T11:00:00,08/11T13:00:00/2026,CANCELLED,3.7,1.3,1.3,Hire, Computer training sister right arm. 
review-clean4-messy-INT-0004932,review-clean4-messy-APP-002884,review-clean4-messy-CAND-01006,Coding Challenge,08/13T11:00:00/2026,2026-08-13T12:00:00,Rejected,4.7,,2.9,Hire,Less young child production its movement.
review-clean4-messy-INT-0004933,review-clean4-messy-APP-002884,review-clean4-messy-CAND-01006,Technical,2026-08-12T08:00:00,,Scheduled,2.9,2.1,foo,Leaning No, Last key scientist know. 
review-clean4-messy-INT-0004934,review-clean4-messy-APP-002885,review-clean4-messy-CAND-04089, Phone Screen ,2026-07-24T15:00:00,2026-07-24T18:00:00,Completed,4.3,1.4,  ,no hire,Table which provide director own away yet.
review-clean4-messy-INT-0004935,review-clean4-messy-APP-002886,review-clean4-messy-CAND-04768,phone screen,07/02T13:00:00/2026,2026-07-02T16:00:00,Cancelled,1.4,,,leaning no,
review-clean4-messy-INT-0004936,review-clean4-messy-APP-002886,review-clean4-messy-CAND-04768,Technical,2026-07-03T14:00:00,2026-07-03T18:00:00,Completed,, 2.1 ,,Leaning No,
review-clean4-messy-INT-0004937,review-clean4-messy-APP-002887,review-clean4-messy-CAND-03279,Phone Screen,2026-08-24T09:00:00,,Completed,2.9,3.5, 1.6 ,No Hire,
review-clean4-messy-INT-0004938,review-clean4-messy-APP-002887,review-clean4-messy-CAND-03279,Cultural Fit,2026-08-26T15:00:00,08/26T16:00:00/2026,COMPLETED,3.7,4.5,,hire, Gun realize exactly. 
review-clean4-messy-INT-0004939,review-clean4-messy-APP-002887,review-clean4-messy-CAND-03279,Technical,2026-08-28T17:00:00,,Scheduled,2.3,4.4,,Hire,Citizen eight hold area dog charge.
